"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Evaluation.Cmdlets.InvokeCompatibilityCheckCmdlet","Invoke-AzStorageSyncCompatibilityCheck","0","1020","The cmdlet 'Invoke-AzStorageSyncCompatibilityCheck' no longer has output type 'Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Evaluation.Models.PSValidationResult'.","Make cmdlet 'Invoke-AzStorageSyncCompatibilityCheck' return type 'Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Evaluation.Models.PSValidationResult'."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Evaluation.Cmdlets.InvokeCompatibilityCheckCmdlet","Invoke-AzStorageSyncCompatibilityCheck","0","2000","The cmdlet 'Invoke-AzStorageSyncCompatibilityCheck' no longer supports the parameter 'Quiet' and no alias was found for the original parameter name.","Add the parameter 'Quiet' back to the cmdlet 'Invoke-AzStorageSyncCompatibilityCheck', or add an alias to the original parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Evaluation.Cmdlets.InvokeCompatibilityCheckCmdlet","Invoke-AzStorageSyncCompatibilityCheck","0","1050","The parameter set 'PathBased' for cmdlet 'Invoke-AzStorageSyncCompatibilityCheck' has been removed.","Add parameter set 'PathBased' back to cmdlet 'Invoke-AzStorageSyncCompatibilityCheck'."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Evaluation.Cmdlets.InvokeCompatibilityCheckCmdlet","Invoke-AzStorageSyncCompatibilityCheck","0","1050","The parameter set '__AllParameterSets' for cmdlet 'Invoke-AzStorageSyncCompatibilityCheck' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'Invoke-AzStorageSyncCompatibilityCheck'."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Evaluation.Cmdlets.InvokeCompatibilityCheckCmdlet","Invoke-AzStorageSyncCompatibilityCheck","0","1050","The parameter set 'ComputerNameBased' for cmdlet 'Invoke-AzStorageSyncCompatibilityCheck' has been removed.","Add parameter set 'ComputerNameBased' back to cmdlet 'Invoke-AzStorageSyncCompatibilityCheck'."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Cmdlets.GetServerEndpointCommand","Get-AzStorageSyncServerEndpoint","0","3010","The property 'CurrentProgress' of type 'Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Models.PSServerEndpointHealth' has been removed.","Add the property 'CurrentProgress' back to type 'Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Models.PSServerEndpointHealth'."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.PowerShell.Cmdlets.StorageSync.Cmdlets.GetServerEndpointCommand","Get-AzStorageSyncServerEndpoint","0","3030","The generic type for 'property LastSyncPerItemErrorCount' has been changed from 'System.Nullable`1[System.Int32]' to 'System.Nullable`1[System.Int64]'. ","Change the generic type for 'property LastSyncPerItemErrorCount' back to 'System.Nullable`1[System.Int32]'."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.Commands.StorageSync.Cmdlets.GetServerEndpointCommand","Get-AzStorageSyncServerEndpoint","0","3000","The type of property 'UploadActivity' of type 'Microsoft.Azure.Commands.StorageSync.Models.PSServerEndpointHealth' has changed from 'Microsoft.Azure.Commands.StorageSync.Models.PSSyncActivityStatus' to 'Microsoft.Azure.Commands.StorageSync.Models.PSServerEndpointSyncActivityStatus'.","Change the type of property 'UploadActivity' back to 'Microsoft.Azure.Commands.StorageSync.Models.PSSyncActivityStatus'."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.Commands.StorageSync.Cmdlets.GetServerEndpointCommand","Get-AzStorageSyncServerEndpoint","0","3000","The type of property 'DownloadActivity' of type 'Microsoft.Azure.Commands.StorageSync.Models.PSServerEndpointHealth' has changed from 'Microsoft.Azure.Commands.StorageSync.Models.PSSyncActivityStatus' to 'Microsoft.Azure.Commands.StorageSync.Models.PSServerEndpointSyncActivityStatus'.","Change the type of property 'DownloadActivity' back to 'Microsoft.Azure.Commands.StorageSync.Models.PSSyncActivityStatus'."
"Microsoft.Azure.PowerShell.Cmdlets.StorageSync.dll","Microsoft.Azure.Commands.StorageSync.Cmdlets.GetServerEndpointCommand","Get-AzStorageSyncServerEndpoint","0","3000","The type of property 'UploadStatus' of type 'Microsoft.Azure.Commands.StorageSync.Models.PSServerEndpointHealth' has changed from 'Microsoft.Azure.Commands.StorageSync.Models.PSSyncSessionStatus' to 'Microsoft.Azure.Commands.StorageSync.Models.PSServerEndpointSyncSessionStatus'.","Change the type of property 'UploadStatus' back to 'Microsoft.Azure.Commands.StorageSync.Models.PSSyncSessionStatus'."
