"c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\Az.Advisor\Microsoft.Azure.PowerShell.Cmdlets.Advisor.dll","Microsoft.Azure.Commands.Advisor.Cmdlets.DisableAzAdvisorRecommendation","Disable-AzAdvisorRecommendation","1","8410","Parameter Days of cmdlet Disable-AzAdvisorRecommendation does not follow the enforced naming convention of using a singular noun for a parameter name.","Consider using a singular noun for the parameter name."
"Microsoft.Azure.PowerShell.Cmdlets.Aks.dll","Microsoft.Azure.Commands.Aks.GetAzureRmAks","Get-AzAks","1","8400","Get-AzAks uses the noun 'AzAks', which does not follow the enforced naming convention of using a singular noun for a cmdlet name.","Consider using a singular noun for the cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.Aks.dll","Microsoft.Azure.Commands.Aks.NewAzureRmAks","New-AzAks","1","8400","New-AzAks uses the noun 'AzAks', which does not follow the enforced naming convention of using a singular noun for a cmdlet name.","Consider using a singular noun for the cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.Aks.dll","Microsoft.Azure.Commands.Aks.RemoveAzureRmAks","Remove-AzAks","1","8400","Remove-AzAks uses the noun 'AzAks', which does not follow the enforced naming convention of using a singular noun for a cmdlet name.","Consider using a singular noun for the cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.Aks.dll","Microsoft.Azure.Commands.Aks.SetAzureRmAks","Set-AzAks","1","8400","Set-AzAks uses the noun 'AzAks', which does not follow the enforced naming convention of using a singular noun for a cmdlet name.","Consider using a singular noun for the cmdlet name."
"Microsoft.Azure.PowerShell.Cmdlets.Aks.dll","Microsoft.Azure.Commands.Aks.StartAzureRmAksDashboard","Start-AzAksDashboard","1","8100","Start-AzAksDashboard Does not support ShouldProcess but the cmdlet verb Start indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Microsoft.Azure.PowerShell.Cmdlets.Aks.dll","Microsoft.Azure.Commands.Aks.StopAzureRmAksDashboard","Stop-AzAksDashboard","1","8100","Stop-AzAksDashboard Does not support ShouldProcess but the cmdlet verb Stop indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Microsoft.Azure.PowerShell.Cmdlets.Aks.dll","Microsoft.Azure.Commands.Aks.NewAzureRmAksNodePool","New-AzAksNodePool","1","8510","Cmdlet 'New-AzAksNodePool' has multiple parameter sets, but no defined default parameter set.","Define a default parameter set in the cmdlet attribute."
"Microsoft.Azure.PowerShell.Cmdlets.AnalysisServices.dll","Microsoft.Azure.Commands.AnalysisServices.NewAzureRmAnalysisServicesFirewallRule","New-AzAnalysisServicesFirewallRule","1","8100","New-AzAnalysisServicesFirewallRule Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Microsoft.Azure.PowerShell.Cmdlets.AnalysisServices.dll","Microsoft.Azure.Commands.AnalysisServices.NewAzureRmAnalysisServicesFirewallConfig","New-AzAnalysisServicesFirewallConfig","1","8100","New-AzAnalysisServicesFirewallConfig Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Microsoft.Azure.PowerShell.Cmdlets.AnalysisServices.dll","Microsoft.Azure.Commands.AnalysisServices.SetAzureAnalysisServicesServer","Set-AzAnalysisServicesServer","1","8420","Parameter set '__AllParameterSets' of cmdlet 'Set-AzAnalysisServicesServer' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"Microsoft.Azure.PowerShell.Cmdlets.AnalysisServices.dll","Microsoft.Azure.Commands.AnalysisServices.SetAzureAnalysisServicesServer","Set-AzAnalysisServicesServer","1","8420","Parameter set 'Default' of cmdlet 'Set-AzAnalysisServicesServer' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"Microsoft.Azure.PowerShell.Cmdlets.AnalysisServices.dll","Microsoft.Azure.Commands.AnalysisServices.SetAzureAnalysisServicesServer","Set-AzAnalysisServicesServer","1","8420","Parameter set 'DisableBackup' of cmdlet 'Set-AzAnalysisServicesServer' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"Microsoft.Azure.PowerShell.Cmdlets.AnalysisServices.dll","Microsoft.Azure.Commands.AnalysisServices.SetAzureAnalysisServicesServer","Set-AzAnalysisServicesServer","1","8420","Parameter set 'DisassociateGateway' of cmdlet 'Set-AzAnalysisServicesServer' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"Microsoft.Azure.PowerShell.Cmdlets.AnalysisServices.dll","Microsoft.Azure.Commands.AnalysisServices.NewAnalysisServicesServer","New-AzAnalysisServicesServer","1","8420","Parameter set '__AllParameterSets' of cmdlet 'New-AzAnalysisServicesServer' contains at least one parameter with a position larger than four, which is discouraged.","Limit the number of positional parameters in a single parameter set to four or fewer."
"Microsoft.Azure.PowerShell.Cmdlets.ApiManagement.dll","Microsoft.Azure.Commands.ApiManagement.Commands.AddAzureApiManagementRegion","Add-AzApiManagementRegion","1","8100","Add-AzApiManagementRegion Does not support ShouldProcess but the cmdlet verb Add indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Microsoft.Azure.PowerShell.Cmdlets.ApiManagement.dll","Microsoft.Azure.Commands.ApiManagement.Commands.NewAzureApiManagementCustomHostnameConfiguration","New-AzApiManagementCustomHostnameConfiguration","1","8100","New-AzApiManagementCustomHostnameConfiguration Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Microsoft.Azure.PowerShell.Cmdlets.ApiManagement.dll","Microsoft.Azure.Commands.ApiManagement.Commands.NewAzureApiManagementHostnameConfiguration","New-AzApiManagementHostnameConfiguration","1","8100","New-AzApiManagementHostnameConfiguration Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Microsoft.Azure.PowerShell.Cmdlets.ApiManagement.dll","Microsoft.Azure.Commands.ApiManagement.Commands.NewAzureApiManagementRegion","New-AzApiManagementRegion","1","8100","New-AzApiManagementRegion Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
