"FileName","CsharpFunction","PowerShellFunction"
"EndpointsOperations.cs","public async Task<AzureOperationResponse> PurgeContentWithHttpMessagesAsync(string resourceGroupName, string frontDoorName, PurgeParameters contentFilePaths, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"EndpointsOperations.cs","public async Task<AzureOperationResponse> BeginPurgeContentWithHttpMessagesAsync(string resourceGroupName, string frontDoorName, PurgeParameters contentFilePaths, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse<IPage<Experiment>>> ListByProfileWithHttpMessagesAsync(string resourceGroupName, string profileName, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse<Experiment>> GetWithHttpMessagesAsync(string resourceGroupName, string profileName, string experimentName, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse<Experiment>> CreateOrUpdateWithHttpMessagesAsync(string resourceGroupName, string profileName, string experimentName, Experiment parameters, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse<Experiment>> UpdateWithHttpMessagesAsync(string resourceGroupName, string profileName, string experimentName, ExperimentUpdateModel parameters, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse> DeleteWithHttpMessagesAsync(string resourceGroupName, string profileName, string experimentName, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse<Experiment>> BeginCreateOrUpdateWithHttpMessagesAsync(string resourceGroupName, string profileName, string experimentName, Experiment parameters, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse<Experiment>> BeginUpdateWithHttpMessagesAsync(string resourceGroupName, string profileName, string experimentName, ExperimentUpdateModel parameters, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse> BeginDeleteWithHttpMessagesAsync(string resourceGroupName, string profileName, string experimentName, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"ExperimentsOperations.cs","public async Task<AzureOperationResponse<IPage<Experiment>>> ListByProfileNextWithHttpMessagesAsync(string nextPageLink, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorNameAvailabilityOperations.cs","public async Task<AzureOperationResponse<CheckNameAvailabilityOutput>> CheckWithHttpMessagesAsync(CheckNameAvailabilityInput checkFrontDoorNameAvailabilityInput, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorNameAvailabilityWithSubscriptionOperations.cs","public async Task<AzureOperationResponse<CheckNameAvailabilityOutput>> CheckWithHttpMessagesAsync(CheckNameAvailabilityInput checkFrontDoorNameAvailabilityInput, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorsOperations.cs","public async Task<AzureOperationResponse<IPage<FrontDoorModel>>> ListWithHttpMessagesAsync(Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorsOperations.cs","public async Task<AzureOperationResponse<IPage<FrontDoorModel>>> ListByResourceGroupWithHttpMessagesAsync(string resourceGroupName, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorsOperations.cs","public async Task<AzureOperationResponse<FrontDoorModel>> GetWithHttpMessagesAsync(string resourceGroupName, string frontDoorName, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorsOperations.cs","public async Task<AzureOperationResponse<FrontDoorModel>> CreateOrUpdateWithHttpMessagesAsync(string resourceGroupName, string frontDoorName, FrontDoorModel frontDoorParameters, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorsOperations.cs","public async Task<AzureOperationResponse> DeleteWithHttpMessagesAsync(string resourceGroupName, string frontDoorName, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorsOperations.cs","public async Task<AzureOperationResponse<ValidateCustomDomainOutput>> ValidateCustomDomainWithHttpMessagesAsync(string resourceGroupName, string frontDoorName, ValidateCustomDomainInput customDomainProperties, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
"FrontDoorsOperations.cs","public async Task<AzureOperationResponse<FrontDoorModel>> BeginCreateOrUpdateWithHttpMessagesAsync(string resourceGroupName, string frontDoorName, FrontDoorModel frontDoorParameters, Dictionary<string, List<string>> customHeaders = null, CancellationToken cancellationToken = default(CancellationToken))",""
